stop_name,stop_id,stop_lat,stop_lon,promedio subidas,stop_url,página wikipedia
Santa Julia,JU,-33.531105,-70.605499,942.08,http://www.metro.cl/estacion/santa-julia,
Santa Lucía,SL,-33.442691,-70.645720,8180.6,http://www.metro.cl/estacion/santa-lucia,
Santa Rosa,SR,-33.542511,-70.634125,4206.16,http://www.metro.cl/estacion/santa-rosa,
Santiago Bueras,BU,-33.496645,-70.757567,1366.16,http://www.metro.cl/estacion/santiago-bueras,
Simón Bolivar,SB,-33.445904,-70.572037,1371.8,http://www.metro.cl/estacion/simon-bolivar,
Tobalaba,TB,-33.418145,-70.601353,12289.8,http://www.metro.cl/estacion/tobalaba-l1,
Toesca,TO,-33.452965,-70.658577,3604,http://www.metro.cl/estacion/toesca,
Trinidad,TR,-33.547020,-70.587654,1666.28,http://www.metro.cl/estacion/trinidad,
Unión Latino Americana,LA,-33.449467,-70.673203,3735,http://www.metro.cl/estacion/union-latinoamericana,
Universidad Católica,UC,-33.440216,-70.640549,4506.96,http://www.metro.cl/estacion/universidad-catolica,
Universidad de Chile,CH,-33.443809,-70.650391,13486.48,http://www.metro.cl/estacion/universidad-de-chile,
Universidad de Santiago,US,-33.452896,-70.686150,6176.04,http://www.metro.cl/estacion/universidad-de-santiago,
Vespucio Norte,AV,-33.380429,-70.646821,5227.68,http://www.metro.cl/estacion/vespucio-norte,
Vicente Valdés,VA,-33.526337,-70.596756,6096.8,http://www.metro.cl/estacion/vicente-valdes-l4,
Vicuña Mackenna,VM,-33.519642,-70.596069,3206.72,http://www.metro.cl/estacion/vicuna-mackenna-l4,
Zapadores,ZA,-33.390938,-70.642441,3383.76,http://www.metro.cl/estacion/zapadores,
Total,,,,431782.32,,
Check total,,,,431782.32,,
