"MC","Macul","76","556","1155","2162","2785","2563","1740","1146","748","571","484","414","342","342","331","409","428","430","382","403","420","451","469","575","663","883","954","860","763","623","488","387","335","292","255","116","7"
"MQ","Manquehue","25","76","261","806","1905","2395","2226","1527","1045","758","860","859","834","830","954","1078","1072","1167","1109","1248","1250","1564","1829","2297","3013","4852","5425","4593","3177","2648","1727","1577","1027","895","534","58","0"
"MM","Manuel Montt","15","43","115","329","693","913","899","692","629","542","644","737","761","833","973","1110","1022","1044","918","884","989","957","1096","1245","1338","1826","1933","1779","1324","1238","964","948","867","981","944","136","0"
"MA","Mirador","47","98","197","410","532","555","451","303","243","190","183","195","201","201","214","238","251","235","230","236","246","297","253","307","355","427","416","378","358","369","308","466","296","356","165","37","1"
"MT","Monte Tabor","9","35","102","209","263","235","130","106","80","78","70","74","62","71","76","123","110","90","73","86","107","104","109","121","147","197","176","151","114","109","107","120","96","127","63","7","0"
"NP","Neptuno","105","366","613","1045","1150","1073","638","512","412","282","264","264","205","216","201","237","247","223","154","164","149","162","159","193","219","250","286","170","121","96","89","84","69","50","27","3","0"
"NU","Nuble","31","127","331","644","906","870","724","541","452","326","332","289","306","259","290","347","313","389","309","463","363","373","383","500","735","1196","1230","936","546","527","304","458","240","231","160","32","0"
"PJ","Pajaritos","155","369","786","1791","2492","2712","1890","1234","899","664","570","536","472","417","434","493","483","391","388","376","389","371","402","474","601","681","758","643","494","451","371","341","261","210","98","11","1"
"PB","Parque Bustamante","10","35","104","330","572","695","560","461","497","349","356","378","357","365","389","454","506","560","468","503","470","562","1057","775","957","1132","1256","1137","835","779","520","505","405","384","246","84","1"
"PQ","Parque O`higgins","20","114","228","385","532","483","407","297","293","253","228","222","247","256","239","292","344","321","329","325","322","482","373","450","523","852","840","682","588","514","361","307","251","183","153","29","0"
"PT","Patronato","2","31","56","93","155","185","149","153","160","177","214","243","312","346","375","476","473","461","461","526","544","541","621","652","727","794","824","1039","863","594","278","152","93","59","43","6","0"
"PE","Pedrero","105","277","536","856","915","891","691","522","455","351","312","270","240","220","231","279","267","232","204","213","196","202","236","257","291","435","414","329","267","208","178","180","148","105","109","35","2"
"PV","Pedro de Valdivia","23","116","267","625","1193","1551","1487","1169","975","928","1007","1203","1221","1300","1419","1601","1588","1579","1421","1503","1486","2115","1860","2218","2695","3692","3813","3086","2113","1961","1368","1091","1165","1027","498","125","0"
"PZ","Plaza de Armas","11","61","123","249","405","530","517","466","543","577","742","869","1013","1152","1254","1431","1488","1719","1548","1572","1444","1600","1740","2192","2737","4210","4923","4643","3467","3732","2426","1942","1107","878","461","130","1"
"EG","Plaza de Puente Alto","1266","2999","4519","5181","4662","4088","2599","2126","1413","1158","954","854","756","817","853","873","842","721","556","504","475","510","513","620","775","918","833","666","507","523","480","380","277","179","97","8","0"
"PM","Plaza Egana","31","135","357","874","1180","1383","924","734","521","443","452","402","384","389","415","490","484","475","459","477","504","568","623","819","931","1116","1134","1066","861","724","579","394","298","273","223","88","0"
"PP","Plaza Maipu","267","1247","2685","4166","4592","3910","2356","1823","1418","1202","989","902","801","751","891","1062","881","797","666","562","599","636","625","731","907","1103","936","754","602","527","498","401","352","301","271","12","0"
"GA","Principe de Gales","6","35","89","283","558","541","411","338","269","212","211","202","180","181","198","204","170","171","222","229","277","329","380","470","556","792","669","587","440","369","240","158","144","135","93","29","0"
"PI","Protectora de la Infancia","87","309","899","1645","1938","1698","860","644","469","351","307","259","203","198","226","273","211","210","181","168","178","182","179","186","254","278","210","153","126","113","114","98","92","67","46","5","0"
"PU","Pudahuel","77","451","975","1748","1550","1345","1067","886","721","596","514","445","388","338","393","471","453","347","320","331","333","339","376","429","630","737","811","538","357","290","272","256","180","160","85","31","3"
"RQ","Quilin","19","60","184","613","649","651","430","357","247","205","197","187","174","170","191","212","194","196","196","211","236","296","345","345","436","550","512","470","338","351","259","227","249","174","129","39","0"
"QN","Quinta Normal","19","134","324","771","1069","1393","943","598","417","305","282","291","281","294","325","420","397","364","295","323","337","743","737","572","649","758","699","633","500","422","346","231","157","137","99","24","0"
"RP","Republica","18","150","297","569","819","1015","772","581","538","624","621","731","906","1102","1142","1617","1534","1191","1066","1348","1559","1171","1268","1664","1746","1733","1781","1474","1132","1266","1225","1255","1810","2262","2485","199","2"
