periodos,0:00,5:30,6:00,6:30,7:00,7:30,8:00,8:30,9:00,9:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30,,Total
Monte Tabor,0,9,35,102,209,263,235,130,106,80,78,70,74,62,71,76,123,110,90,73,86,107,104,109,121,147,197,176,151,114,109,107,120,96,127,63,7,,,"3,936"
Cumming,,19,95,254,455,712,793,550,423,329,254,225,226,257,197,212,324,309,405,244,284,275,317,332,395,403,552,594,539,370,349,337,293,292,240,214,71,1,,"12,140"
Hernando de Magallanes,,4,10,63,223,563,756,617,352,240,169,174,166,209,149,162,274,223,183,196,288,271,254,315,437,432,527,691,507,355,304,185,127,141,179,133,21,,,"9,900"
Plaza Egana,,31,135,357,874,"1,180","1,383",924,734,521,443,452,402,384,389,415,490,484,475,459,477,504,568,623,819,931,"1,116","1,134","1,066",861,724,579,394,298,273,223,88,0,,"21,208"
Cementerios,,14,57,122,214,229,219,147,123,106,82,90,79,87,90,91,119,108,117,100,96,104,149,147,175,187,299,201,177,109,85,65,56,44,38,23,4,,,"4,150"
Nuble,,31,127,331,644,906,870,724,541,452,326,332,289,306,259,290,347,313,389,309,463,363,373,383,500,735,"1,196","1,230",936,546,527,304,458,240,231,160,32,,,"16,465"
Mirador,,47,98,197,410,532,555,451,303,243,190,183,195,201,201,214,238,251,235,230,236,246,297,253,307,355,427,416,378,358,369,308,466,296,356,165,37,1,,"10,245"
Rondizonni,,48,246,438,887,913,865,749,576,536,521,492,497,484,527,529,611,518,399,351,535,391,455,555,587,698,"1,107","1,085",664,443,394,287,330,246,290,274,30,,,"18,560"
Cal y Canto,,86,493,954,"1,949","2,507","2,598","1,882","1,427","1,208",923,897,929,938,932,"1,070","1,165","1,231","1,095","1,053","1,085","1,098","1,185","1,261","1,535","1,963","2,748","2,971","2,951","2,380","1,968","1,433","1,110",716,591,277,33,,,"48,642"
El LLano,,31,92,183,408,533,516,463,376,364,315,297,278,282,302,323,346,341,257,238,258,279,270,321,484,470,602,506,363,263,267,213,135,101,125,64,12,0,,"10,680"
Los Dominicos,,10,53,174,680,"1,500","1,659","1,314",934,586,422,449,397,361,346,412,462,433,462,524,537,618,727,914,"1,091","1,499","1,946","2,058","1,624","1,371","1,072",709,519,462,377,262,12,,,"26,975"
Santa Ana,,93,480,"1,068","2,214","3,210","3,138","2,333","1,897","1,608","1,208","1,128","1,052","1,069","1,033","1,178","1,525","1,826","1,707","1,228","1,165","1,137","1,277","1,374","1,725","2,351","3,776","3,964","3,508","2,711","2,577","1,732","1,495","1,639","1,464",993,284,,,"62,169"
Principe de Gales,,6,35,89,283,558,541,411,338,269,212,211,202,180,181,198,204,170,171,222,229,277,329,380,470,556,792,669,587,440,369,240,158,144,135,93,29,0,,"10,377"
Carlos Valdovinos,,34,104,174,390,464,453,340,237,187,166,145,143,139,233,144,219,327,222,186,342,223,211,196,361,484,814,683,511,299,345,172,297,186,183,308,20,1,,"9,943"
Irarrazaval,,23,122,312,804,"1,322","1,758","1,540",970,848,611,554,575,558,566,608,733,810,692,693,739,764,818,884,"1,070","1,460","2,345","2,623","2,273","1,545","1,213",817,715,559,550,423,87,1,,"32,985"
Estacion Central,,136,455,867,"1,746","2,126","1,806","1,435","1,440","1,253","1,123","1,061","1,131","1,144","1,148","1,281","1,734","1,485","1,429","1,233","1,339","1,341","1,227","1,227","1,662","1,605","1,925","2,488","2,106","1,646","1,472","1,244","1,268","1,107",761,407,63,4,,"46,924"
Santa Lucia,,98,346,644,"1,054","1,567","2,001","1,690","1,179","1,019",866,846,896,980,938,"1,028","1,228","1,176","1,164","1,061","1,080","1,152","1,111","1,278","1,435","1,557","2,242","2,559","2,086","1,453","1,346","1,047",814,794,682,358,124,2,,"40,903"
Santa Isabel,,8,58,151,419,635,715,558,424,374,270,257,260,252,297,271,330,449,366,382,313,347,682,517,451,595,885,965,881,679,479,335,301,295,363,210,56,1,,"14,832"
Vicuna Mackenna,,18,87,228,555,739,708,508,385,315,286,274,264,295,304,380,459,423,403,362,379,389,403,395,457,499,636,730,752,672,704,609,778,711,464,383,76,3,,"16,034"
Cristobal Colon,,3,25,74,258,523,501,386,351,237,164,169,174,161,158,168,207,222,205,244,328,304,346,398,524,608,723,847,718,554,445,283,214,193,219,139,39,0,,"11,111"
Cerro Blanco,,6,54,143,297,362,369,248,216,177,175,172,176,184,195,216,256,220,197,179,236,199,253,315,399,481,646,651,527,355,276,198,124,116,90,66,10,,,"8,784"
Parque O`higgins,,20,114,228,385,532,483,407,297,293,253,228,222,247,256,239,292,344,321,329,325,322,482,373,450,523,852,840,682,588,514,361,307,251,183,153,29,,,"12,724"
San Miguel,,17,59,172,411,629,580,406,305,282,271,273,286,320,341,302,498,599,442,400,559,428,486,547,612,634,797,674,463,345,394,255,247,272,283,125,24,0,,"13,737"
Franklin,,29,92,183,300,339,354,258,185,196,183,180,172,191,181,211,243,292,271,225,264,265,217,443,354,428,583,640,496,412,326,167,130,99,94,50,10,0,,"9,064"
Camino AgrÌ_cola,,32,129,264,509,585,680,512,375,364,381,319,332,554,438,445,659,413,369,421,528,422,430,495,488,695,882,562,433,394,471,387,407,513,583,891,182,0,,"16,544"
Francisco Bilbao,,10,52,142,426,766,826,720,537,405,312,316,319,294,299,334,382,395,422,467,465,571,668,711,852,"1,005","1,366","1,484","1,248","1,109",970,757,532,439,398,348,98,0,,"20,446"
Manquehue,,25,76,261,806,"1,905","2,395","2,226","1,527","1,045",758,860,859,834,830,954,"1,078","1,072","1,167","1,109","1,248","1,250","1,564","1,829","2,297","3,013","4,852","5,425","4,593","3,177","2,648","1,727","1,577","1,027",895,534,58,0,,"57,503"
Union Latino Americana,,47,169,316,510,558,624,457,412,446,400,400,411,494,486,524,677,751,580,562,490,532,533,586,528,679,845,848,692,630,595,446,423,471,713,791,48,1,,"18,675"
Escuela Militar,,26,121,253,727,"1,562","1,931","1,842","1,373","1,117",825,910,944,964,959,"1,055","1,243","1,187","1,079","1,178","1,314","1,353","1,537","1,739","2,024","2,452","3,476","3,658","3,176","2,279","1,935","1,639","1,375","1,290",915,574,104,0,,"50,133"
Universidad Catolica,,8,36,100,296,621,895,874,620,490,420,411,496,547,561,645,824,661,545,523,723,657,609,787,965,"1,052","1,278","1,219",929,787,993,780,651,706,464,275,84,,,"22,535"
Parque Bustamante,,10,35,104,330,572,695,560,461,497,349,356,378,357,365,389,454,506,560,468,503,470,562,"1,057",775,957,"1,132","1,256","1,137",835,779,520,505,405,384,246,84,1,,"19,059"
Rodrigo de Araya,,18,58,107,283,364,349,280,218,198,212,190,219,212,198,198,254,232,223,196,266,316,245,340,521,905,"1,151","1,006",696,390,370,258,329,392,296,76,17,1,,"11,584"
Los Heroes,,72,257,459,"1,001","1,403","1,554","1,283",926,827,788,715,856,"1,028","1,053","1,428","1,667","1,684","1,161","1,148","1,243","1,322","1,394","1,403","1,830","2,050","2,369","2,431","2,042","1,503","1,499","1,360","1,373","2,202","2,116","2,212",284,2,,"47,944"
Salvador,,8,77,133,309,724,"1,107","1,159",876,784,690,734,793,839,909,"1,082","1,243","1,117","1,014",911,"1,022","1,000","1,086","1,108","1,298","1,176","1,485","1,369","1,200",981,"1,121",917,796,668,899,593,54,,,"31,281"
La Moneda,,84,194,368,722,"1,122","1,413","1,265","1,021",947,930,962,"1,007","1,124","1,180","1,304","1,584","1,396","1,350","1,197","1,101","1,114","1,201","1,316","1,753","2,466","3,087","2,851","2,303","1,598","1,393",978,913,940,860,596,133,2,,"43,774"
Alcantara,,5,10,35,159,354,582,522,345,298,236,275,281,269,302,413,491,372,393,331,362,345,435,490,647,809,"1,433","1,622","1,147",645,503,292,224,186,168,88,13,0,,"15,083"
Toesca,,7,68,166,407,473,521,432,296,299,308,264,318,394,349,412,654,539,482,433,460,692,497,597,822,843,981,"1,123",924,630,587,476,524,816,683,497,47,,,"18,020"
Pedro de Valdivia,,23,116,267,625,"1,193","1,551","1,487","1,169",975,928,"1,007","1,203","1,221","1,300","1,419","1,601","1,588","1,579","1,421","1,503","1,486","2,115","1,860","2,218","2,695","3,692","3,813","3,086","2,113","1,961","1,368","1,091","1,165","1,027",498,125,0,,"52,490"
Manuel Montt,,15,43,115,329,693,913,899,692,629,542,644,737,761,833,973,"1,110","1,022","1,044",918,884,989,957,"1,096","1,245","1,338","1,826","1,933","1,779","1,324","1,238",964,948,867,981,944,136,,,"32,360"
Bellas Artes,,3,26,78,183,300,319,250,209,205,181,163,180,193,187,227,286,273,279,234,303,264,314,353,479,641,"1,015","1,308","1,083",733,669,460,416,388,339,254,75,1,,"12,873"
Baquedano,,50,159,233,462,793,892,759,621,612,558,572,697,713,859,"1,034","1,230","1,311","1,091",876,955,"1,118","1,133","1,179","1,505","1,918","2,411","2,523","2,185","1,569","1,443","1,252","1,196","1,176","1,403",955,199,1,,"37,643"
Republica,,18,150,297,569,819,"1,015",772,581,538,624,621,731,906,"1,102","1,142","1,617","1,534","1,191","1,066","1,348","1,559","1,171","1,268","1,664","1,746","1,733","1,781","1,474","1,132","1,266","1,225","1,255","1,810","2,262","2,485",199,2,,"40,672"
Los Leones,,13,50,128,382,753,"1,036",984,857,719,653,778,843,966,971,"1,111","1,243","1,416","1,332","1,272","1,274","1,218","1,347","1,450","1,696","2,103","2,923","3,467","3,254","2,395","2,308","1,547","1,428",806,640,370,83,1,,"43,815"
San Joaquin,,12,65,124,372,423,476,339,217,251,345,282,371,627,461,698,"1,041",701,622,541,750,"1,034",707,778,"1,277","1,119","1,329","1,399",848,624,781,709,539,529,459,494,42,1,,"21,387"
El Golf,,14,18,47,186,332,462,477,376,369,342,407,426,422,463,507,641,559,527,450,556,532,665,691,931,"1,213","2,082","2,295","1,742",920,687,469,439,318,299,171,50,0,,"21,083"
Tobalaba,,22,102,182,524,878,"1,140","1,027",861,839,758,889,992,"1,023","1,062","1,207","1,473","1,272","1,299","1,277","1,360","1,369","1,639","1,863","2,629","3,557","5,886","6,842","6,057","3,818","3,148","1,907","1,322","1,176","1,286",605,157,,,"61,449"
Patronato,,2,31,56,93,155,185,149,153,160,177,214,243,312,346,375,476,473,461,461,526,544,541,621,652,727,794,824,"1,039",863,594,278,152,93,59,43,6,,,"12,880"
Universidad de Chile,,41,76,160,370,636,849,820,744,898,"1,015","1,254","1,517","1,729","1,945","2,243","2,683","2,921","2,853","2,299","2,056","1,985","2,003","2,204","2,721","3,190","4,622","5,028","4,148","2,985","2,814","2,851","1,569","1,275","1,596","1,251",81,,,"67,432"
Plaza de Armas,,11,61,123,249,405,530,517,466,543,577,742,869,"1,013","1,152","1,254","1,431","1,488","1,719","1,548","1,572","1,444","1,600","1,740","2,192","2,737","4,210","4,923","4,643","3,467","3,732","2,426","1,942","1,107",878,461,130,1,,"53,902"
